# target	incorrect_or_spoken_variant...
# Keep this file focused on service/domain terms. Add only corrections that are
# safe for your product context, because these replacements run automatically.
카페24	카피14	카페 24	아카페24	카패24	카페이십사
Supabase	슈퍼베이스	슈퍼 베이스	수퍼베이스	수퍼 베이스
백엔드	백핸드	백앤드	백 엔드	백 핸드
프론트엔드	프론트앤드	프론트 엔드	프론트 앤드	핸드폰 진드
Whisper	위스퍼	웨스퍼	휘스퍼
프롬프트	프롬포트	프롬 포트
핫워드	하드워드	핫 워드	하트워드
Cloudflare	클라우드 플레이어	클라우드플레이어	클라우드 플레어	클라우드플레어
GPT	CPT	지피티
LLM	LNM	엘엘엠	엘앤엠
on-device	언디바이스	온디바이스	온 디바이스
JSON	제이슨	제이손
API	에이피아이
CI	씨아이
QA	큐에이
SSL	에스에스엘
NCP	엔시피
VAD	브이에이디
STT	에스티티
ASR	에이에스알
Figma	피그마	스피그마
RunPod	런팟	런포드
Docker	도커
FastAPI	패스트API	패스트 에이피아이
Object Storage	오브젝트 스토리지
DB	디비
AI	에이아이
NVIDIA	엔비디아
CUDA	쿠다
float16	플로트16	플롯16
large-v3	라지 v3	라지브이쓰리	라지 브이쓰리
medium	미디움
